C:\Users\michal.paprcka\Desktop\data1\IMG\center_2021_04_15_21_40_42_227.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\left_2021_04_15_21_40_42_227.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\right_2021_04_15_21_40_42_227.jpg,0,1,0,17.51789
C:\Users\michal.paprcka\Desktop\data1\IMG\center_2021_04_15_21_40_42_304.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\left_2021_04_15_21_40_42_304.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\right_2021_04_15_21_40_42_304.jpg,0,1,0,18.33393
C:\Users\michal.paprcka\Desktop\data1\IMG\center_2021_04_15_21_40_42_384.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\left_2021_04_15_21_40_42_384.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\right_2021_04_15_21_40_42_384.jpg,0,1,0,19.14255
C:\Users\michal.paprcka\Desktop\data1\IMG\center_2021_04_15_21_40_42_463.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\left_2021_04_15_21_40_42_463.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\right_2021_04_15_21_40_42_463.jpg,0,1,0,19.94489
C:\Users\michal.paprcka\Desktop\data1\IMG\center_2021_04_15_21_40_42_545.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\left_2021_04_15_21_40_42_545.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\right_2021_04_15_21_40_42_545.jpg,0,1,0,20.74052
C:\Users\michal.paprcka\Desktop\data1\IMG\center_2021_04_15_21_40_42_625.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\left_2021_04_15_21_40_42_625.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\right_2021_04_15_21_40_42_625.jpg,0,1,0,21.5293
C:\Users\michal.paprcka\Desktop\data1\IMG\center_2021_04_15_21_40_42_706.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\left_2021_04_15_21_40_42_706.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\right_2021_04_15_21_40_42_706.jpg,0,1,0,22.31223
C:\Users\michal.paprcka\Desktop\data1\IMG\center_2021_04_15_21_40_42_787.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\left_2021_04_15_21_40_42_787.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\right_2021_04_15_21_40_42_787.jpg,0,1,0,23.09124
C:\Users\michal.paprcka\Desktop\data1\IMG\center_2021_04_15_21_40_42_860.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\left_2021_04_15_21_40_42_860.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\right_2021_04_15_21_40_42_860.jpg,0,1,0,23.86757
C:\Users\michal.paprcka\Desktop\data1\IMG\center_2021_04_15_21_40_42_933.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\left_2021_04_15_21_40_42_933.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\right_2021_04_15_21_40_42_933.jpg,0,1,0,24.44511
C:\Users\michal.paprcka\Desktop\data1\IMG\center_2021_04_15_21_40_43_000.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\left_2021_04_15_21_40_43_000.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\right_2021_04_15_21_40_43_000.jpg,0,1,0,25.21687
C:\Users\michal.paprcka\Desktop\data1\IMG\center_2021_04_15_21_40_43_079.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\left_2021_04_15_21_40_43_079.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\right_2021_04_15_21_40_43_079.jpg,0,1,0,25.98162
C:\Users\michal.paprcka\Desktop\data1\IMG\center_2021_04_15_21_40_43_160.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\left_2021_04_15_21_40_43_160.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\right_2021_04_15_21_40_43_160.jpg,0,1,0,26.74
C:\Users\michal.paprcka\Desktop\data1\IMG\center_2021_04_15_21_40_43_240.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\left_2021_04_15_21_40_43_240.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\right_2021_04_15_21_40_43_240.jpg,0,1,0,27.4923
C:\Users\michal.paprcka\Desktop\data1\IMG\center_2021_04_15_21_40_43_320.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\left_2021_04_15_21_40_43_320.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\right_2021_04_15_21_40_43_320.jpg,0,1,0,28.2385
C:\Users\michal.paprcka\Desktop\data1\IMG\center_2021_04_15_21_40_43_399.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\left_2021_04_15_21_40_43_399.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\right_2021_04_15_21_40_43_399.jpg,0.2,1,0,28.95968
C:\Users\michal.paprcka\Desktop\data1\IMG\center_2021_04_15_21_40_43_480.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\left_2021_04_15_21_40_43_480.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\right_2021_04_15_21_40_43_480.jpg,0,1,0,29.69167
C:\Users\michal.paprcka\Desktop\data1\IMG\center_2021_04_15_21_40_43_561.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\left_2021_04_15_21_40_43_561.jpg,C:\Users\michal.paprcka\Desktop\data1\IMG\right_2021_04_15_21_40_43_561.jpg,0,1,0,30.19156
